Timestamp,Water Volume (L),Flow Rate (L/min),Water Volume (L)_Anomalous,Flow Rate (L/min)_Anomalous
10:03.9,0.593964489,FALSE,0.727556031,FALSE
25:03.9,0.477762934,FALSE,0.22969767,FALSE
40:03.9,1.201495105,TRUE,0.332465041,FALSE
55:03.9,0.319807743,FALSE,0.44140165,FALSE
10:03.9,0.642911916,FALSE,0.508159172,FALSE
25:03.9,0.274389225,FALSE,-0.045599035,TRUE
40:03.9,0.556510656,FALSE,0.799188913,FALSE
55:03.9,0.63170659,FALSE,0.499857974,FALSE
10:03.9,0.741430579,FALSE,0.763696851,FALSE
25:03.9,0.556071743,FALSE,0.693131516,FALSE
40:03.9,0.576615612,FALSE,0.698820174,FALSE
55:03.9,0.741745374,FALSE,0.305866227,FALSE
10:03.9,0.649158481,FALSE,0.781176251,FALSE
25:03.9,0.564907717,FALSE,0.652910582,FALSE
40:03.9,0.699326478,FALSE,0.362735888,FALSE
55:03.9,0.700218033,FALSE,0.266340682,FALSE
10:03.9,0.496237939,FALSE,0.480145579,FALSE
25:03.9,0.407492159,FALSE,0.23737775,FALSE
40:03.9,0.478831371,FALSE,0.605286207,FALSE
55:03.9,0.674665323,FALSE,0.289073081,FALSE
10:03.9,0.775000281,FALSE,0.763990074,FALSE
25:03.9,0.266376587,FALSE,0.284887798,FALSE
40:03.9,0.502883179,FALSE,0.755415466,FALSE
55:03.9,0.375804571,FALSE,-0.193357865,TRUE
10:03.9,0.568491514,FALSE,0.544177513,FALSE
25:03.9,0.409248551,FALSE,0.628598488,FALSE
40:03.9,0.255055208,FALSE,0.481334899,FALSE
